,Upvotes
173078,22.0
125844,12.0
228173,24.0
250949,5.0
261702,103.0
206866,4513.0
197947,100.0
246046,37.0
66007,7.0
207589,63.0
291267,11.0
264860,2.0
62264,3.0
265569,7.0
296632,31.0
146235,75.0
222963,5.0
303874,18.0
129666,945.0
26422,258.0
2810,80.0
302136,23.0
6244,5.0
306785,15.0
295916,37.0
40275,2.0
152863,321.0
77295,150.0
65564,13.0
112806,29.0
183137,50.0
154756,17.0
46486,22.0
137546,31.0
257695,147.0
252080,59.0
281648,19.0
10716,0.0
139674,20.0
2450,3.0
260019,285.0
74011,7.0
313881,7.0
245920,150.0
243925,5.0
79325,9.0
252042,0.0
75578,11.0
271853,8.0
101101,9.0
180030,16.0
34232,42.0
169637,7.0
121599,8.0
57810,411.0
327825,2.0
262788,29.0
234866,9.0
140622,649.0
311524,11.0
243140,2.0
57209,11.0
92023,5.0
138283,244.0
150680,1389.0
44305,35.0
196231,18.0
7039,23.0
279128,0.0
111999,320.0
13380,10.0
202724,0.0
40129,25.0
148982,3.0
121752,77.0
46360,3.0
321599,88.0
184966,282.0
309582,10.0
114014,33.0
221759,16.0
285865,5.0
29591,55.0
320184,183.0
178826,633.0
161582,113.0
153351,2403.0
54493,25.0
159249,9.0
251185,166.0
219707,0.0
326578,9.0
143105,20.0
151933,9.0
129471,68.0
94278,2.0
70932,9.0
300836,83.0
136305,10.0
213433,5.0
220462,184.0
13262,13.0
291319,16.0
174922,2915.0
227790,12.0
202053,2.0
12759,6.0
14030,12.0
291396,2852.0
2822,72.0
91909,9.0
286786,1.0
56576,29.0
157425,21.0
212055,74.0
103935,0.0
290807,8.0
307639,99.0
60388,33.0
281895,24.0
280545,734.0
124231,31.0
130376,1.0
104795,62.0
203261,7.0
162535,20.0
98926,19.0
232598,41.0
234581,6.0
123716,1.0
176475,14.0
186169,118.0
68634,23.0
139946,60.0
237127,31.0
277955,20.0
41245,6.0
257315,17.0
14580,11.0
327427,36.0
82929,23.0
255100,829.0
127208,191.0
198480,4011.0
102580,85.0
272823,1.0
163560,19.0
35612,10.0
144411,247.0
217809,0.0
36022,12.0
156960,1.0
93269,549.0
116140,28.0
172404,103.0
245981,26.0
222720,6.0
40970,27.0
147803,1.0
317284,23.0
92624,78.0
44602,1.0
132168,98.0
250656,19.0
27074,5.0
97111,116.0
214770,17.0
104811,18.0
31062,37052.0
220978,64.0
36953,77.0
242455,7.0
52445,2.0
194488,10.0
134653,5.0
113422,7.0
95934,5.0
39079,2.0
282780,30.0
296399,6.0
285533,6.0
188063,3.0
26234,57.0
9237,4.0
216642,8.0
62464,112.0
307326,84.0
285524,56.0
12630,6.0
157267,15.0
295885,50.0
36061,76.0
230844,72.0
22457,0.0
301519,8.0
13034,4.0
65503,3210.0
39731,19.0
107897,4.0
177153,5.0
62712,8.0
183079,9.0
301681,14.0
289995,166.0
224991,32.0
226185,44.0
206081,394.0
150013,48.0
120201,77.0
61596,220.0
124172,32.0
266442,391.0
60787,13.0
296269,1851.0
177075,255.0
313567,5.0
291601,26.0
270985,26.0
109072,2.0
254116,5.0
250961,34.0
272526,0.0
202824,296.0
228053,690.0
301530,70.0
203538,40.0
86599,179.0
126752,76.0
152841,627.0
36482,69.0
19793,2544.0
327837,62.0
94852,27.0
107302,14.0
161316,115.0
305909,12.0
287911,7.0
64215,684.0
178051,4.0
68400,80.0
79136,4.0
172829,49.0
3050,1988.0
217091,53.0
102786,84.0
313293,84.0
168366,5.0
133,3717.0
234863,9.0
65236,163.0
261280,130.0
269443,951.0
155996,1.0
8092,193.0
267061,0.0
127806,260.0
297952,57.0
319656,75.0
80273,1336.0
237679,2.0
167895,74.0
316828,11.0
227897,481.0
328397,151.0
62615,64.0
189133,38.0
257107,47.0
159984,124.0
112420,7.0
195048,36.0
282649,10.0
91860,21.0
161016,36.0
227768,7.0
249544,1.0
275231,6.0
229375,130.0
217993,7.0
329824,846.0
91101,78.0
116762,527.0
177067,9.0
187641,5.0
42617,61.0
215638,29.0
105702,874.0
131615,5.0
106120,5.0
145710,3.0
77914,3.0
128328,21.0
75976,17.0
95713,124.0
85414,11.0
200094,626.0
306469,6.0
191847,22.0
101649,22.0
104355,57.0
122790,7.0
282493,25.0
179238,15.0
224990,1390.0
178162,3.0
165976,14.0
69103,72.0
181949,1234.0
157946,3.0
209136,11.0
127233,2219.0
120559,3.0
18991,6.0
240016,17.0
280004,60.0
32019,9.0
316187,2.0
135482,429.0
8278,4.0
234342,453.0
119228,32.0
38616,1.0
291001,29.0
234380,926.0
303098,0.0
206947,9.0
167842,50.0
141720,4.0
249171,4.0
24168,56.0
315899,19.0
282522,23.0
268637,570.0
185879,9.0
242801,6834.0
193472,4.0
319120,3077.0
91726,1.0
324294,27.0
278807,82.0
246594,1703.0
158591,101.0
39510,9.0
87654,17.0
30336,15.0
175840,47.0
266892,156.0
196712,57.0
106268,16.0
312514,18.0
271803,77.0
247602,5.0
278795,404.0
86445,2.0
255378,7.0
35813,10.0
130368,3.0
299662,22.0
114994,5.0
117302,7.0
189986,30.0
84486,0.0
24687,4.0
49032,52.0
299555,40.0
233283,28.0
5174,1.0
77850,29.0
276500,1644.0
199684,0.0
111248,2082.0
24234,46.0
109573,94.0
261669,47.0
285444,22.0
156063,55.0
154297,10.0
321288,113.0
189978,978.0
7932,770.0
187896,13.0
184510,3.0
244763,67.0
299921,171.0
291405,1.0
136997,15.0
205475,60.0
180765,3.0
245026,31.0
75320,183.0
69007,9.0
109358,15.0
10553,13.0
269991,17.0
46225,15.0
268582,1946.0
116238,14.0
248478,73.0
244093,11.0
306756,18.0
231906,8.0
89448,49.0
55528,483.0
190253,26.0
233085,27.0
291729,5.0
112390,176.0
206983,5.0
26529,8.0
242019,239.0
294988,2.0
228306,4.0
231840,2.0
294890,80.0
168258,26.0
232753,25.0
8019,7.0
65000,16.0
131572,25.0
223212,558.0
273167,37.0
35597,146.0
308876,57.0
176683,51.0
93727,1577.0
268685,32.0
106017,17.0
230664,14.0
168275,1049.0
177987,103.0
28417,938.0
83702,13.0
259628,790.0
200871,7.0
133628,1.0
101555,9.0
124546,6.0
74336,69.0
60157,236.0
323107,1848.0
230323,1.0
329414,320.0
260899,17.0
216375,231.0
246176,118.0
108928,53.0
106347,2.0
34407,183.0
267855,139.0
150219,1.0
192856,2.0
194740,344.0
240651,15.0
147458,1.0
204716,22.0
280889,6.0
230144,257.0
200325,15.0
172731,48.0
147650,66.0
107482,611.0
163803,62.0
271919,16617.0
287674,6.0
249230,38.0
21947,3.0
82903,29.0
188005,125.0
15949,21.0
29649,3.0
242417,36.0
221421,481.0
214749,15.0
40000,22.0
163631,60.0
112772,1197.0
142820,70.0
255424,15.0
146908,13.0
171595,247.0
116953,24.0
132918,5.0
17396,145.0
247872,12.0
165250,15.0
95090,4.0
329165,26.0
37384,6.0
115547,89.0
150071,46.0
153385,3273.0
7690,32.0
282478,17.0
184754,18.0
143744,240.0
277196,4.0
162301,4.0
172260,44.0
97359,80.0
163474,2.0
47807,72.0
101787,266.0
163707,2.0
292482,12.0
253272,20.0
316201,1.0
125351,66.0
202462,6.0
143108,134.0
320595,37.0
118723,37.0
283149,6.0
232946,337.0
303593,896.0
131594,6.0
145252,5.0
150363,41.0
154866,1.0
203226,12597.0
14975,19.0
60142,25.0
43414,6.0
278771,259.0
317318,33.0
115348,27.0
284398,6.0
49686,77.0
265157,10.0
188795,15.0
269503,4.0
311160,5.0
89766,288.0
207534,6.0
142182,8.0
249786,49.0
79834,2.0
29509,11.0
279674,45.0
275623,374.0
290164,146.0
149841,296.0
145291,68.0
249992,22.0
212330,5.0
72448,9.0
9899,290.0
152431,25.0
215303,3.0
257854,4.0
228473,28.0
119605,22.0
46410,96.0
113207,3.0
190863,3.0
234836,7.0
194286,26.0
291556,1.0
78100,3.0
102812,22.0
48218,125.0
191757,23.0
28871,10.0
60378,2.0
137491,118.0
87882,92.0
300452,98.0
218300,10.0
186321,35.0
100702,102.0
166386,5.0
64302,15.0
59464,186.0
66130,40.0
247859,35.0
72547,252.0
30309,8.0
165168,20.0
44407,73.0
44306,1.0
5310,39.0
201979,155.0
194207,214.0
239100,38.0
188505,15.0
170293,27.0
142808,0.0
280438,3.0
357,24.0
209046,797.0
88117,3.0
283961,5.0
251618,13.0
231950,65.0
159846,20.0
129678,0.0
105971,1.0
25970,1.0
63785,3.0
277552,128.0
205480,3.0
105726,25.0
1389,0.0
198489,28.0
46540,3.0
310397,73.0
105204,26.0
20751,93.0
97330,917.0
204051,3.0
10375,13.0
322683,463.0
271948,4.0
245978,8.0
101641,23.0
205456,6.0
186973,13.0
119697,33.0
28619,164.0
301200,137.0
303852,17.0
189985,112.0
16437,72.0
171149,207.0
314805,4580.0
101768,1.0
55165,27.0
103786,593.0
254039,47.0
306065,16.0
325096,91.0
277813,166.0
116266,1.0
27843,8.0
225296,51.0
1839,5189.0
84125,16871.0
16564,46.0
132478,4.0
93779,1.0
78046,123.0
46108,163.0
242732,645.0
181984,1094.0
247642,102.0
44137,53.0
147788,3.0
268973,5.0
57242,48.0
74545,4063.0
312060,707.0
104503,8444.0
275088,192.0
93237,7.0
328891,15.0
85886,212.0
80742,59.0
125650,41.0
167715,16.0
40527,20.0
291051,302.0
329214,6.0
136283,12.0
264990,6.0
153276,53.0
312538,24.0
329652,1.0
289520,53.0
185579,75.0
183283,19.0
123326,0.0
75221,11.0
263058,36.0
279867,2.0
292420,5.0
114980,0.0
191260,1.0
239320,5.0
317264,188.0
297216,33.0
238777,14.0
324186,35.0
125404,87.0
7741,71.0
211533,24.0
250999,142.0
248491,27.0
39029,30.0
172537,78.0
199440,4.0
195459,51.0
178469,626.0
220879,208.0
313176,92.0
244125,8.0
26767,1937.0
300388,30.0
84585,115.0
42269,62.0
235729,4.0
200451,13.0
246036,21.0
121382,29.0
211216,12.0
211202,120.0
80954,1026.0
167045,667.0
219783,7.0
304718,2.0
3957,1025.0
100332,83.0
287454,262.0
253039,3.0
241329,39.0
69239,2.0
166720,7.0
62799,13.0
279028,34.0
44910,5.0
83771,27.0
301540,3.0
172675,43.0
109631,52.0
278511,161.0
37168,8.0
298344,8.0
162677,5.0
104386,55.0
181885,4.0
282842,5.0
128409,41.0
147481,127.0
206814,12.0
129993,13.0
82942,116.0
99415,15.0
93053,15.0
104079,2.0
284782,183.0
329222,73.0
238729,3.0
304580,110.0
89136,118.0
94601,3.0
51266,79.0
139164,286.0
282121,13.0
289285,1.0
240060,54.0
126106,43.0
4980,8.0
104340,0.0
79601,6.0
155933,19.0
115576,16.0
135033,10.0
55359,20.0
25745,8.0
45028,831.0
200583,1.0
154304,126.0
310086,49.0
255958,51.0
105673,36.0
115093,12.0
278746,11.0
96324,2.0
40330,2.0
152010,75.0
11277,2.0
194685,48.0
147221,131.0
206039,27.0
85814,542.0
190433,73.0
325692,10.0
109795,0.0
303016,10.0
170863,44.0
18501,26.0
136274,59.0
289246,11.0
310142,22.0
177299,459.0
122744,3.0
20295,6.0
83685,174.0
88971,11.0
237287,113.0
189711,6.0
252029,66.0
141704,4919.0
134584,24.0
250056,5.0
155280,18.0
242512,3.0
193886,7.0
213441,37.0
38320,9.0
28921,4.0
35337,8.0
317161,9.0
277234,25.0
222420,37.0
252304,138.0
316392,498.0
88245,9.0
286325,16.0
262285,127.0
253080,85.0
272604,48.0
84064,18.0
212718,26.0
256563,10.0
18333,7.0
22908,1.0
293234,76.0
144564,4.0
122592,225.0
237094,5.0
168387,23.0
164201,1.0
266122,6.0
55007,9.0
327207,394.0
2313,212.0
209731,43.0
3445,5.0
283346,846.0
197534,6.0
27261,5.0
84929,6.0
176989,997.0
223071,68.0
28307,3.0
74420,2.0
307565,0.0
31693,3.0
176128,8.0
269863,65.0
117532,12.0
173807,6.0
215345,10.0
139887,135.0
123963,2.0
301655,5.0
316078,61.0
324397,46.0
91640,23.0
226368,38.0
225120,139.0
306115,8.0
38011,5.0
113802,4.0
181866,12.0
62608,16.0
254978,22.0
283023,119.0
271517,1563.0
166755,3.0
160420,6924.0
23522,59.0
244054,599.0
210546,45.0
305606,556.0
22450,1.0
221815,8.0
33257,14.0
275743,128.0
161840,39.0
192697,5.0
4230,13.0
5387,14.0
138157,106.0
295797,3298.0
157980,29.0
12618,79.0
119336,172.0
155245,21.0
168019,5742.0
11381,11.0
206088,2.0
243976,253.0
288171,3.0
315409,545.0
316395,10.0
31821,134.0
300066,109.0
79481,377.0
300024,13.0
98878,52.0
106988,64.0
259015,23.0
297734,20.0
185129,75.0
167430,144.0
71150,10.0
87570,37.0
32455,423.0
135131,127.0
148238,8.0
289294,11.0
116107,103.0
201596,4.0
291083,1493.0
42115,58.0
219343,22.0
313470,33.0
301115,19.0
29776,3.0
220872,1.0
76944,9.0
300469,6.0
40655,62.0
13364,13.0
303247,3.0
128421,14.0
162067,7.0
116535,5.0
110666,12.0
172950,11.0
271088,12.0
144554,6.0
319458,428.0
32567,7.0
301995,303.0
192361,93.0
53647,190.0
238230,1.0
175383,15.0
218615,156.0
212941,5.0
68119,10.0
152853,200.0
305715,46.0
102456,1.0
104943,88.0
268824,11.0
70526,2570.0
132142,92.0
171544,4630.0
101046,1.0
43933,54.0
231464,152.0
299589,16.0
88380,1.0
280654,452.0
237470,9.0
171825,8.0
15993,108.0
75658,7.0
153666,123.0
313798,798.0
260190,45.0
228477,7.0
139091,25.0
176600,196.0
287442,761.0
291956,154.0
250801,105.0
27052,34.0
136079,151.0
22397,9.0
119882,111.0
239016,132.0
4077,296.0
148939,361.0
303383,247.0
67420,2.0
141975,43.0
18581,31.0
213226,441.0
282809,20.0
82099,31.0
186913,6.0
66882,9.0
325056,423.0
86715,25.0
290608,39.0
209100,27.0
157039,8.0
11475,1.0
102168,104.0
203801,42.0
96113,132.0
244883,14.0
89273,1994.0
288049,2.0
76614,13.0
207770,9.0
245187,106.0
309354,106.0
214766,191.0
60097,10.0
216515,45.0
234469,99.0
256817,197.0
46671,27.0
105579,73.0
228077,204.0
33872,10.0
196861,4.0
188074,39.0
127385,174.0
156176,5.0
113015,53.0
275424,10093.0
292678,22.0
230632,10.0
144800,18.0
24944,20.0
149503,26.0
199532,2.0
152925,4693.0
270514,451.0
141229,15.0
91056,48.0
64982,12.0
90328,3.0
69618,33.0
283960,180.0
136429,21.0
136298,4.0
148733,40.0
244267,15.0
140358,144.0
47677,2.0
34410,3.0
265509,26.0
195008,4.0
85292,2949.0
146584,7.0
209002,5786.0
154115,99.0
219140,8334.0
211950,42.0
323066,123.0
282450,12.0
263031,1797.0
216280,18.0
229208,6.0
319807,140.0
251069,6.0
295312,19.0
554,3.0
28910,5.0
150712,4.0
276439,7.0
157404,80.0
62500,153.0
213792,8.0
151578,184.0
242202,13.0
271256,605.0
278359,16.0
59994,246.0
77809,36.0
143447,6.0
194979,83.0
280819,5.0
211774,1140.0
281030,6.0
87618,472.0
71280,8.0
14699,23.0
42688,9.0
172737,31.0
9254,168.0
236735,13.0
66899,362.0
308211,43.0
223364,16.0
118100,45402.0
186788,331.0
137743,22.0
271789,9.0
169025,71.0
61707,1578.0
278924,177.0
24161,11.0
16554,39.0
227286,77.0
77317,33.0
314608,48.0
42839,507.0
209589,209.0
221171,91.0
136337,32.0
298277,3.0
165210,62.0
177936,175.0
115820,10.0
267960,570.0
300655,2.0
122658,175.0
261945,89.0
299641,31.0
305582,713.0
329269,24.0
12885,3.0
279915,73.0
138057,24.0
129631,260.0
268448,23.0
328570,250.0
320998,13.0
55785,28.0
3874,52.0
296669,3.0
254671,11.0
127370,4.0
65873,168.0
203563,98.0
143367,1076.0
230021,1860.0
281907,15.0
148555,4.0
198009,185.0
66929,47.0
277208,7652.0
90400,3.0
112032,124.0
289605,3.0
150424,22.0
218056,2.0
199838,154.0
287654,34.0
246063,1244.0
19495,1154.0
143394,5971.0
323154,19.0
77269,6392.0
36918,9.0
1150,1.0
224092,27.0
18212,198.0
23018,574.0
72454,182.0
89197,4503.0
312281,28.0
35312,80.0
224051,37.0
298369,22.0
108491,54.0
294644,103.0
119105,21.0
92443,11.0
193194,16.0
322560,304.0
288200,6.0
55237,12196.0
206327,518.0
324952,18.0
686,10.0
160921,332.0
33283,177.0
231745,6.0
146749,7.0
108045,9.0
259174,6.0
119549,41.0
240227,43.0
252178,22.0
58968,40.0
33066,37.0
317005,1.0
155407,0.0
59149,0.0
248440,77.0
214061,19.0
100322,3.0
92030,199.0
108525,3.0
120070,0.0
124543,250.0
114344,0.0
80430,12.0
186185,5.0
109924,58.0
2660,17.0
88608,343.0
96271,24.0
103962,73.0
329256,164.0
309793,21.0
20208,3.0
296584,5.0
10179,524.0
199133,54.0
5197,4.0
34766,11.0
14024,269.0
254865,5.0
4817,21.0
322531,3.0
115893,35.0
309615,319.0
181548,60.0
63109,3093.0
61382,1.0
233496,519.0
123836,8.0
111665,1.0
119923,322.0
6955,21.0
114780,28.0
312591,4603.0
14108,171.0
233423,131.0
248896,922.0
88885,2.0
233244,88.0
291968,6.0
293454,2.0
158506,27.0
323825,170.0
234211,36.0
61627,22.0
192277,2071.0
89836,8.0
104757,94.0
18817,250.0
167501,9.0
17983,117.0
240935,24.0
136952,23.0
209400,10.0
82693,91.0
74191,6.0
253637,23.0
135114,9.0
236779,891.0
106444,62.0
178311,31.0
217734,12.0
77695,19.0
149957,20.0
75726,58.0
131078,65.0
98015,12.0
155622,402.0
2421,11.0
238119,32.0
21532,1.0
225516,32.0
169661,189.0
148964,1.0
249235,145.0
301733,189.0
247586,6.0
262496,8.0
196563,447.0
30824,2.0
125832,19.0
14694,127.0
77122,20.0
45308,29.0
36962,42.0
289311,0.0
327338,10.0
243477,838.0
324246,9.0
185733,5.0
111881,6.0
13852,7.0
270689,3.0
264072,4.0
201518,190.0
193147,3.0
234745,11.0
278227,40.0
184845,2.0
160906,85.0
96781,55.0
130740,121.0
66538,13.0
259681,7.0
273340,76.0
65002,1438.0
284295,29.0
151823,240.0
182081,128.0
176471,353.0
284275,191.0
155844,7.0
315033,13.0
13023,8.0
194384,418.0
2479,10.0
85918,72.0
281518,10.0
177183,4.0
243486,7.0
219582,44.0
56454,1495.0
8965,3.0
179923,26.0
119788,0.0
124092,54.0
238090,6.0
55747,7.0
148916,21.0
306531,25.0
10641,113.0
119142,123.0
311768,112.0
145498,3.0
292792,21.0
4695,662.0
273374,380.0
13610,2.0
33820,169.0
7162,4.0
37432,88.0
176274,25.0
296156,1.0
63231,3.0
201489,44.0
133193,642.0
14889,4.0
95060,6.0
61070,15.0
293277,13.0
73521,1.0
205757,4.0
214293,19.0
312588,28.0
92389,145.0
179701,2.0
47681,71.0
121721,6.0
121335,11.0
132321,13.0
108993,40.0
155465,10.0
324979,30.0
128672,2592.0
312247,6.0
302959,77.0
56610,5000.0
109410,7.0
294736,2.0
227027,1153.0
214127,4.0
290048,15.0
119521,4.0
40504,152.0
223174,1.0
67120,18.0
151876,12.0
197228,237.0
171455,2.0
117937,8.0
299000,33.0
231579,20.0
72937,295.0
68467,8.0
18658,75.0
238622,296.0
153645,4.0
82516,1449.0
183149,283.0
81700,11.0
65916,30.0
76522,45.0
319397,5.0
46340,50.0
177034,27.0
176883,33.0
91053,21.0
178308,5.0
90655,18.0
289562,9.0
299467,2.0
141753,205.0
318575,44.0
177893,5.0
177933,38.0
116208,18.0
148855,9.0
228799,13.0
278149,30.0
130818,10.0
252562,22.0
207312,4112.0
284831,98.0
169189,295.0
178297,36.0
87080,8.0
248563,10.0
84319,12.0
229344,49.0
221998,312.0
20319,18.0
108008,36.0
160949,10.0
129734,112.0
103093,8.0
29318,13.0
293598,66.0
184851,122.0
214939,1322.0
151175,3.0
15520,53.0
175862,10.0
70536,37.0
173123,3.0
133760,2.0
190362,29.0
173666,54.0
105045,7.0
308054,107.0
225979,71.0
101094,53.0
149175,2.0
119223,158.0
316214,4.0
73366,2.0
66336,111.0
198182,230.0
49701,3.0
97846,6.0
5081,2436.0
25009,11.0
37928,33.0
317093,121.0
309356,18.0
312542,157.0
305031,28.0
9002,1414.0
181006,6.0
114149,20.0
92518,2719.0
122333,18.0
116129,317.0
252830,108.0
94868,68.0
182947,17.0
254073,149.0
15090,3.0
34817,42.0
308430,2.0
151882,59.0
4286,3.0
36210,248.0
251329,15.0
98286,4.0
174244,1.0
161923,12640.0
45586,2695.0
249903,17.0
131912,100.0
149336,623.0
194141,20.0
49409,10.0
70194,56456.0
225155,9.0
257933,19.0
294452,2.0
111916,11.0
304891,278.0
308812,38.0
258677,945.0
57798,36.0
101192,174.0
305247,5.0
311199,136.0
222336,37.0
71426,6189.0
98883,2.0
12204,61.0
221009,804.0
326677,517.0
164824,78.0
166918,14.0
40543,27.0
128290,19.0
56386,177.0
202494,19.0
120968,22.0
157533,42.0
163381,378.0
187433,62.0
163024,50.0
162551,1.0
205675,150.0
190731,2.0
85127,5.0
258062,131.0
70205,18.0
267789,23.0
247123,4962.0
71411,88.0
171605,262.0
